ID,﻿editor,action,Line Of Business Component,Channel Component,Product Component,Domain Component,domain_sequence Qualifier,Subdomain Component,sub_domain_sequence Qualifier,Business Flow Component,business_flow_sequence Qualifier,Task Component,task sequence Qualifier,Application Component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated,SOX Control,persona_id
1,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,4,Activate & Provision Service,1,Inquire Account & Eligibility,1,PEARS,18436,18436,/PEARSWS/services/PortEligibilityReferenceDataLookup,9/22/2025,,
2,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireAccountProfile/version=306.6.32/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
3,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireAccountProfile/version=306.6.32/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
4,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireAccountProfile/version=306.6.32/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
5,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireAccountSubscribers/version=228.5.19/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
6,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireAccountSubscribers/version=228.5.19/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
7,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireAccountSubscribers/version=228.5.19/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
8,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Inquire Account & Eligibility,1,CSI - Product and Offer Mgt,20180,20180,/Services/com/InquirePortEligibilityBySubscriberNumber.jws,9/22/2025,,
9,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.AddPort/version=192.5.38/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
10,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.AddPort/version=192.5.38/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
11,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.AddPort/version=192.5.38/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
12,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,PEARS,18436,18436,/PEARSWS/services/PortEligibilityReferenceDataLookup,9/24/2025,,
13,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,TLG-MOB,18193,18193,PortRequestServicesBeanTracer/updatePortRequest,10/20/2025,,
14,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.InquirePort/version=1012.5.8/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
15,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.InquirePort/version=1012.5.8/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
16,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.InquirePort/version=1012.5.8/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
17,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.UpdatePort/version=112.5.20/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
18,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.UpdatePort/version=112.5.20/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
19,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.UpdatePort/version=112.5.20/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
20,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.UpdatePort/version=112.5.20/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
21,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Prepare Number & Port,2,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.UpdatePort/version=112.5.20/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
22,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,TLG-MOB,18193,18193,,,,
23,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Product and Offer Mgt,20180,20180,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
24,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Product and Offer Mgt,20180,20180,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
25,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Product and Offer Mgt,20180,20180,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
26,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.InquireSIMStatus/version=112.5.20/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
27,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.InquireSIMStatus/version=112.5.20/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
28,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.InquireSIMStatus/version=112.5.20/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
29,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Verify Device & SIM Status,3,CSI - Customer Care,20182,20182,/Services/com/InquireDeviceDetails.jws,9/22/2025,,
30,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,(FED) - GEARS,24095,24095,,,,
31,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,CSI - Order and Subscription Mngt,20187,20187,/service=com.att.csi.m2e.InquireMarketServiceAreas/version=158.6.7/envContext=PROD/routeOffer=AE2P01,10/23/2025,,
32,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,CSI - Order and Subscription Mngt,20187,20187,/service=com.att.csi.m2e.InquireMarketServiceAreas/version=158.6.7/envContext=PROD/routeOffer=ASC2P01,10/23/2025,,
33,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,CSI - Order and Subscription Mngt,20187,20187,/service=com.att.csi.m2e.InquireMarketServiceAreas/version=158.6.7/envContext=PROD/routeOffer=AW2P01,10/23/2025,,
34,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Validate Market & Service Area,4,CSI Parent/Triage,17690,17690,/Services/com/cingular/csi/gears/InquireMarketServiceAreas.jws,9/22/2025,,
35,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,TLG-MOB,18193,18193,,,,
36,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.10/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
37,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.10/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
38,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Manage Subscriber Number,5,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.10/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
39,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ActivatePort/version=1012.5.11/envContext=PROD/routeOffer=AE2P01,10/23/2025,,
40,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ActivatePort/version=1012.5.11/envContext=PROD/routeOffer=ASC2P01,10/23/2025,,
41,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ActivatePort/version=1012.5.11/envContext=PROD/routeOffer=AW2P01,10/23/2025,,
42,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,TLG-MOB,18193,18193,ActivateSubscriberResellerResponse,9/22/2025,,
43,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,"""SC",18198,18198,Switch Control,"TSC""",,
44,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Product and Offer Mgt,20180,20180,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
45,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Product and Offer Mgt,20180,20180,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
46,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Product and Offer Mgt,20180,20180,/service=com.att.csi.m2e.InquireDeviceStatus/version=167.5.27/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
47,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireSubscriberProfile/version=306.6.32/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
48,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CS FOBPM,19181,19181,/restservices/csfobpm/EnhancedMobileServiceProvisioning/v1/officeathand/company,10/23/2025,,
49,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireSubscriberProfile/version=306.6.32/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
50,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Customer Care,20182,20182,/service=com.att.csi.m2e.InquireSubscriberProfile/version=306.6.32/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
51,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,GRID-GDDN,22509,22509,,,,
52,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.8/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
53,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,2,Setup & Activate,3,Activate & Provision Service,1,Activate Service,6,CSI - Network Management,20188,20188,/service=com.att.csi.m2e.ReserveSubscriberNumber/version=309.5.8/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
