lineOfBusiness Component,editor Qualifier,channel Component,product Component,domain Component,domain_sequence Qualifier,subdomain Component,sub_domain_sequence Qualifier,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,,,
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,,,
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,,,
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,tm0828,Online,Mobility,Shop & Purchase,1,Order Plan/Device,2,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,,,
Mass Markets,bb0063,Care,Broadband,Service & Support,4,Report Issue,1,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
Mass Markets,bb0063,Field,Broadband,Onboard & Activate,2,Setup & Activate,5,,,
