lineOfBusiness Component,editor Qualifier,channel Component,product Component,domain Component,domain_sequence Qualifier,subdomain Component,sub_domain_sequence Qualifier,business_flow Component,business_flow_sequence Qualifier,Task Component,task_sequence Qualifier,application Component,correlation_id Qualifier,FK_Data[Applications].Correlation_ID
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Determine Calculation Group,5,Infor,30763,30763
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Convert Time Code to Pay Component,7,Infor,30763,30763
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Payroll to General Ledger,10,OGSI - GL,32412,32412
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Determine Calculation Group,5,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Log Into Workday,1,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Log Into Workday,1,WIAM-ILM,24424,24424
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Create Job Requisition,2,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Create Job Offer,3,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Accept/Decline Offer,4,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Calculate Time Code,6,Infor,30763,30763
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Convert Time Code to Pay Component,7,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Calculate P&R PxQ & ADP Tax Remittance,8,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Map P&R Pay Component to GL,9,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Payroll to General Ledger,10,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Hiring Guidelines ,5,Onboard New Hire to Payroll,1,Journalization,11,OGSI - GL,32412,32412
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,Manage Time,2,Submit time,1,Infor,30763,30763
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,Manage Time,2,Evaluate time,2,Infor,30763,30763
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,Manage Time,2,Present timesheet errors,3,Infor,30763,30763
Corporate Systems,bb0063,Human Resources,SOX,Manage Financial Resources,2,Payroll,6,Manage Time,2,Correct submission to resolve error,4,Infor,30763,30763
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,Run retro recal to identify and calculate compensation changes,1,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,Run pay calc to calculate compensation,2,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,Process payroll Inputs,3,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,"Calculate gross pay, pre-tax deductions, tax witholdings, post-tax deductions and net pay",4,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,Run payroll complete & close payroll,5,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,Investigate and resolve errors identified including pay inputs not processed,6,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll test,3,Review on-cycle pay results,7,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Store attributes,1,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Assign attributes based on the HR data,2,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Convert time codes to pay components,3,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Create job requisition,1,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Create job requisition automatically,2,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Enters job details,3,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Identify qualified candidate,4,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Approve job offer,5,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Create job offer,6,Workday,29338,29338
Corporate Systems,bb0063,Human Resources,SOX,Onboard,1,Employee Recruitment,4,New Hire,1,Make changes in offer letter,7,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Review/ verify error file,4,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive awards data,5,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive commission data,6,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive disability data,7,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive severance data,8,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive executive comp data,9,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive other data,10,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Receive manual data corrections,11,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,Store employee self-service payroll elections,12,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Pay Inputs,4,"Receive health, welfare and 401K data",13,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Calculate Payroll in Workday,5,Apply management rounding (if needed),1,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Calculate Payroll in Workday,5,"Calculate gross pay, pre-tax deductions, tax witholdings, post-tax deductions and net pay",2,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Calculate Payroll in Workday,5,Calculate wages and overtime,3,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Send tax,1,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Send invoice due information to treasury group,2,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Pull funds via reverse wire from JP Morgan Chase,3,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Remit payment directly to appropriate institutions,4,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Impound payroll funds to GL Account #1190.34,5,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Reconcile Workday with ADP,6,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Generate impound reconciliation report,7,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Perform Regulatory & Tax Accounting,4,Ensure Tax Compliance,1,Payroll Tax Administration,1,Book journal entry,8,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run retro recal to identify and calculate compensation changes,1,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run pay calc to calculate compensation,2,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Investigate and resolve errors identified including pay inputs not processed,3,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run boomerangs,4,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run retro recal,5,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Review retro results,6,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Re-run pay calc,7,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run retro complete,8,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Create and complete off cycle checks,9,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Review and run pay calc,10,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Review on-cycle pay results,11,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run payroll calc,12,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run settlement,13,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run payroll complete,14,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Print checks and advices and schedule birt,15,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Process Payroll,6,Run pay calc to open next pay cycle,16,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Post Payroll to GL,7,Map pay component to GL accounts,1,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Post Payroll to GL,7,Post pay component data,2,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Post Payroll to GL,7,Record Journal Entry,3,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Post Payroll to GL,7,Record Payroll Accrual/Reversals,4,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Post Payroll to GL,7,Record Payroll Expense,5,Workday,29338,29338
Corporate Systems,bb0063,Finance,SOX,Manage Financial Resources,2,Payroll,6,Post Payroll to GL,7,Record Payment of Payroll,6,Workday,29338,29338
