editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> INFOR: Intergration 267,Determine Calculation Group,5,Infor,30763,30763,Intergration 267,Confirmed
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,INFOR ->> Workday: Integration 211,Convert Time Code to Pay Component,7,Infor,30763,30763,Intergration 211,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> CorpFin-GL: Integration 77,Payroll to General Ledger,10,OGSI - GL,32412,32412,Integration 77,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,,Determine Calculation Group,5,Workday,29338,29338,HCM-Link,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,,Log Into Workday,1,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> Halo.E.IAM: ,Log Into Workday,1,WIAM-ILM,24424,24424,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> Workday:,Create Job Requisition,2,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> Workday:,Create Job Offer,3,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> Workday:,Accept/Decline Offer,4,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,INFOR ->> INFOR:,Calculate Time Code,6,Infor,30763,30763,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,,Convert Time Code to Pay Component,7,Workday,29338,29338,,Integrations
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> Workday:,Calculate P&R PxQ & ADP Tax Remittance,8,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,Workday ->> Workday:,Map P&R Pay Component to GL,9,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,,Payroll to General Ledger,10,Workday,29338,29338,,POG no API
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,5,Hiring Guidelines ,1,Onboard New Hire to Payroll,CorpFin-GL ->> Corpfin-GL:,Journalization,11,OGSI - GL,32412,32412,,
bb0063,Add,Corporate Systems,Human Resources,SOX,2,Manage Financial Resources,6,Payroll,2,Manage Time,Infor ->>,Submit time,1,Infor,30763,30763,,
bb0063,Add,Corporate Systems,Human Resources,SOX,2,Manage Financial Resources,6,Payroll,2,Manage Time,Infor ->>,Evaluate time,2,Infor,30763,30763,,
bb0063,Add,Corporate Systems,Human Resources,SOX,2,Manage Financial Resources,6,Payroll,2,Manage Time,Infor ->>,Present timesheet errors,3,Infor,30763,30763,,
bb0063,Add,Corporate Systems,Human Resources,SOX,2,Manage Financial Resources,6,Payroll,2,Manage Time,Infor ->>,Correct submission to resolve error,4,Infor,30763,30763,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,Run retro recal to identify and calculate compensation changes,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,Run pay calc to calculate compensation,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,Process payroll Inputs,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,"Calculate gross pay, pre-tax deductions, tax witholdings, post-tax deductions and net pay",4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,Run payroll complete & close payroll,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,Investigate and resolve errors identified including pay inputs not processed,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,3,Process Payroll test,Workday ->>,Review on-cycle pay results,7,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Store attributes,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Assign attributes based on the HR data,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Convert time codes to pay components,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Create job requisition,1,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Create job requisition automatically,2,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Enters job details,3,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Identify qualified candidate,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Approve job offer,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Create job offer,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Human Resources,SOX,1,Onboard,4,Employee Recruitment,1,New Hire,Workday ->>,Make changes in offer letter,7,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Review/ verify error file,4,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive awards data,5,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive commission data,6,Workday,29338,29338,,
bb0063,Add,Corporate Systems,Finance,SOX,2,Manage Financial Resources,6,Payroll,4,Pay Inputs,Workday ->>,Receive disability data,7,Workday,29338,29338,,
