Line Of Business Component,Channel Component,Product Component,Domain Component,Subdomain Component
Corporate Systems,Human Resources,SOX,Onboard,Hiring Guidelines
Mass Markets,Care,Guarantee,Service & Support,Report Issue
Mass Markets,Care,Guarantee,Service & Support,Troubleshoot Issue
Mass Markets,Care,Mobility,Onboard & Activate,Setup & Activate
Mass Markets,Care,Mobility,Service & Support,Troubleshoot Issue
Mass Markets,Care,Mobility,Use & Manage,Change Plan / Change Speed
Mass Markets,Field,Broadband,Onboard & Activate,Setup & Activate
Mass Markets,Field,Broadband,Service & Support,Resolve Issue
Mass Markets,Field,Guarantee,Service & Support,Troubleshoot Issue
Mass Markets,MVNO,Wholesale Mobility,Close & Separate,Change Settings & Prefrences
Mass Markets,MVNO,Wholesale Mobility,Close & Separate,Close Account
Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,Setup & Activate
Mass Markets,MVNO,Wholesale Mobility,Service & Support,Resolve Issue
Mass Markets,MVNO,Wholesale Mobility,Use & Manage,Change Settings & Prefrences
Mass Markets,Online,Mobility,Onboard & Activate,Configure Settings & Preferences
Mass Markets,Online,Mobility,Onboard & Activate,Receive Products
Mass Markets,Online,Mobility,Onboard & Activate,Unbox Products
Mass Markets,Online,Mobility,Service & Support,Confirm Resolution
Mass Markets,Online,Mobility,Service & Support,Report Issue
Mass Markets,Online,Mobility,Service & Support,Resolve Issue
Mass Markets,Online,Mobility,Service & Support,Troubleshoot Issue
Mass Markets,Online,Mobility,Shop & Purchase,Build Cart
Mass Markets,Online,Mobility,Shop & Purchase,Checkout
Mass Markets,Online,Mobility,Shop & Purchase,Learn & Discover
Mass Markets,Online,Mobility,Shop & Purchase,Order Addtional Products/Services
Mass Markets,Online,Mobility,Shop & Purchase,Order Plan/Device
Mass Markets,Online,Mobility,Use & Manage,Change Plan / Change Speed
Mass Markets,Online,Mobility,Use & Manage,Change Settings & Prefrences
Mass Markets,Online,Mobility,Use & Manage,Upgrade Device / Equipment
Mass Markets,Retail,Broadband,Shop & Purchase,Order Plan/Device
Mass Markets,Retail,Mobility,Onboard & Activate,Setup & Activate
Mass Markets,Retail,Mobility,Shop & Purchase,Order Plan/Device
Mass Markets,Retail,Mobility,Use & Manage,Change Plan / Change Speed
