editor,action,lineOfBusiness,channel,product,domain_sequence,domain,sub_domain_sequence,subdomain,business_flow_sequence,business_flow,e2eux_sequence,sequence_uml,e2eux,correlation_id,application,api,Date Updated,SOX Control,Column1
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,1,ASOC ->> ROME: Connect to Opportunity ,Connect to Opportunity,13540,ASOC,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,1,OVALS GIS ->> ROME: Connect to Opportunity ,Connect to Opportunity,19375,OVALS GIS,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,2,"CPC ->> Sales Express: Connect for Standard Pricing
CPC ->> ASAP: Solution Creation & Qualification 
CPC ->> Salesforce: Solution Creation & Qualification ",Pricing and Create Solution,17765,CPC,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,2,"IGLOO ->> Sales Express: Connect for Standard Access Pricing 
IGLOO ->> ASAP: Solution Creation & Qualification 
IGLOO ->> Salesforce: Solution Creation & Qualification",Pricing and Create Solution,27567,(FED) - IGLOO,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,2,"UB - >>  CPC: Solution Creaton & Qualification
UB ->> IGLOO: Solution Creaton & Qualification",Pricing and Create Solution,13792,UB,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,2,"ASF ->> BGW: Biller Setup for Contract
ASF ->> OVALS: Solution Creaton & Qualification
ASF ->> APS: Signature & Countersignature
ASF ->> APS: Generate Contract",Pricing and Create Solution,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,3,"MYPRICE ->>  CPC: Custom Pricer Engagement
MYPRICE ->> IGLOO: Custom Pricer Engagement
MYPRICE ->> ASAP_ADOPT: Custom Pricing",Create Custom Pricing,27226,MyPrice,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,3,NEXXUS ->> ASAP_ADOPT: Custom Pricing,Create Custom Pricing,30359,NEXXUS,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,4,"ROME ->> BGW/UB: Biller Setup for Contract
ROME ->> Sales Express : Link to Opportunity/Solution
ROME ->> ASAP_ADOPT:Link to Opportunity/Solution
ROME ->> ASF: Link to Opportunity/Solution
ROME ->> SSDF: signature & Countersignature
ROME ->> CPC: Custom Pricing
ROME ->> IGLOO: Custom Pricing",Setup Billing,14269,ROME,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,4,"BGW ->> CADM: Biller Setup for Contract
BGW - >>  CPC: Solution Creaton & Qualification
BGW ->> IGLOO: Solution Creaton & Qualification",Setup Billing,14106,BGW,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,4,CADM ->> UB: Biller Setup for Contract,Setup Billing,12997,CADM,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,5,"ADOPT ->> BGW: Biller Setup for Contract
ADOPT ->> ROME: Signature & Countersignature
ADOPT ->> SSDF: Generate Contract",Generate Contract,14377,ADOPT,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,5,"SSDF ->> ESIGN: Signature & Countersignature 
SSDF ->> CPC: Generate Contract
SSDF ->> IGLOO: Generate Contract",Generate Contract,23007,SSDF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,5,"APS ->> ESIGN: Signature & Countersignature
APS ->>  CPC: Generate Contract 
APS ->> IGLOO: Generate Contract",Generate Contract,31170,APS,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,6,"Sales Express ->> BGW: Biller Setup for Contract
Sales Express ->> CSI-Qual: Solution Creation & Qualification
Sales Express ->>ASOC: Solution Creation & Qualification
Sales Express ->> ROME: Signature & Countersignature
Sales Express ->> SSDF: Generate Contract",Finalize Solution & Contract ,22787,Sales Express,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,6,,Finalize Solution & Contract ,22597,DATARTR,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,6,,Finalize Solution & Contract ,12654,C-BUS,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,6,,Finalize Solution & Contract ,28605,AT&T-Power BI,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,6,,Finalize Solution & Contract ,26683,EIS,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,6,"ASAP ->> CSI-Qual: Solution Creation & Qualification
ASAP ->> ASOC: Solution Creation & Qualification
ASAP ->> EDF: Write Solution to EDF
ASAP ->> ROME: Engage Custom Group",Qualify & Record Solution,12987,ASAP,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,7,"DOCVIEWER ->> Sales Express: Load Signed Contract to Repository
DOCVIEWER ->> ADOPT: Load Signed Contract to Repository",Save Contract,13662,DOCVIEWER,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,8,"ESIGN ->> CPC: Link to Solution
ESIGN ->> IGLOO: Link to Solution ",Link to Solution,14038,ESIGN,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ADI,2,Buy,2,Contract Management,2,Contract Complete,3,"EDF ->> CPC: Custom Pricing
EDF ->> IGLOO: Custom Pricing
EDF ->> Sales Express: Generate Contract
EDF ->> ADOPT: Generate Contract
EDF ->> ASF: Generate Contract",Create Custom Pricing,23718,EDF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,2,Buy,2,Contract Management,1,Contract Complete,1,,Generate contract PDF,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,OAH,2,Buy,2,Contract Management,1,Contract Complete,2,,Navigate to contract page,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,2,Buy,2,Contract Management,2,Contract Complete,1,,Generate Contract & Signature,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,2,Buy,2,Contract Management,2,Contract Complete,2,,Order Sales request,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,2,Buy,2,Contract Management,2,Contract Complete,3,,Capture Customer initiated Order,23015,ATTeBiz,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,2,Buy,2,Contract Management,2,Contract Complete,4,,Create E-Sales Order,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,2,Buy,2,Contract Management,2,Contract Complete,5,,Submit E-Sales Order,29572,ASF,,,,
em114j,Add,AT&T Business,Global Enterprise Sales,ABF,2,Buy,2,Contract Management,2,Contract Complete,6,,Manage DD & Order Details,29572,ASF,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,12672,ACMS - SPECIALS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,"ACMS ->> PED 
ACMS ->> TIRKS
ACMS ->> EXACT
ACMS ->> TSNOW",Access Order,25938,ACMS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,13346,BPP-ADT/ATW,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,13003,BPP - FACILITY,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,16994,CANOPI,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,13804,DCS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,EFMS ->> ACMS: Access Order,Access Order,13537,EFMS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,9325,EXMGR,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,351,MARS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,12765,MDLRS,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,12653,NISE-CORE,,,,
em114j,Add,AT&T Business,Service Delivery,ADI,2,Buy,4,Design Management,6,Design Complete,1,,Access Order,19835,NISE-WFM,,,,
