Line Of Business Component,channel Component,product Component,domain Component,subdomain Component
Mass Markets,Field,Broadband,Onboard & Activate,Setup & Activate
Mass Markets,Care,Broadband,Service & Support,Report Issue
Mass Markets,Online,Mobility,Shop & Purchase,Order Plan/Device
Mass Markets,MVNO,Wholesale Mobility,Use & Manage,Change Settings & Prefrences
Corporate Systems,Human Resources,SOX,Onboard,Hiring Guidelines 
Mass Markets,Care,Mobility,Service & Support,Troubleshoot Issue
Mass Markets,Care,Broadband,Service & Support,Troubleshoot Issue
Mass Markets,MVNO,Wholesale Mobility,Onboard & Activate,Setup & Activate
AT&T Business,Global Enterprise Sales,ADI,Learn,Sales Opportunity Management
Mass Markets,Online,Mobility,Use & Manage,Change Settings & Prefrences
Mass Markets,Care,Mobility,Use & Manage,Change Plan / Change Speed 
Mass Markets,MVNO,Wholesale Mobility,Service & Support,Resolve Issue
Mass Markets,Field,Broadband,Service & Support,Troubleshoot Issue
Mass Markets,Care,Mobility,Onboard & Activate,Setup & Activate
AT&T Business,Global Enterprise Sales,ADI,Buy,Contract Management
Mass Markets,Online,Mobility,Shop & Purchase,Change Settings & Prefrences
Mass Markets,Online,Mobility,Shop & Purchase,Order Addtional Products/Services 
Mass Markets,Field,Broadband,Service & Support,Resolve Issue 
AT&T Business,Global Enterprise Sales,ADI,Buy,Sales Order Management
Mass Markets,Online,Mobility,Use & Manage,Upgrade Device / Equipment 
AT&T Business,Service Delivery,ADI,Get,Order Management
Mass Markets,Online,Mobility,Onboard & Activate,Setup & Activate
Mass Markets,Retail,Mobility,Use & Manage,Change Plan / Change Speed
Mass Markets,Retail,Broadband,Shop & Purchase,Order Plan/Device
Mass Markets,Retail,Mobility,Onboard & Activate,Setup & Activate
Mass Markets,Online,Mobility,Service & Support,Troubleshoot Issue
AT&T Business,Service Delivery,ADI,Buy,Design Management
AT&T Business,Service Delivery,ADI,Get,Provisioning Management
Mass Markets,Retail,Mobility,Use & Manage,Change Plan / Change Speed 
AT&T Business,Business Field Services,ADI,Get,Provisioning Management
AT&T Business,Service Assurance,ADI,Support,Incident Management
Mass Markets,Online,Mobility,Use & Manage,Upgrade Device / Equipment
Mass Markets,Online,Mobility,Use & Manage,Change Plan / Change Speed
Mass Markets,Online,Broadband,Shop & Purchase,Order Addtional Products/Services 
Mass Markets,Online,Broadband,Shop & Purchase,Order Plan/Device
Mass Markets,Field,Broadband,Service & Support,Resolve Issue
Mass Markets,Retail,Mobility,Shop & Purchase,Order Plan/Device
Mass Markets,Retail,Broadband,Use & Manage,Change Plan / Change Speed
Corporate Systems,Human Resources,SOX,Manage Financial Resources,Payroll
Corporate Systems,Finance,SOX,Manage Financial Resources,Payroll
Corporate Systems,Human Resources,SOX,Onboard,Employee Recruitment
Corporate Systems,Finance,SOX,Perform Regulatory & Tax Accounting,Ensure Tax Compliance
AT&T Business,Digital Experience,CRU,Buy,Sales Order Management 
AT&T Business,Global Enterprise Sales,ASE,Learn,Lead Managment 
AT&T Business,Global Enterprise Sales,OAH,Learn,Sales Opportunity Management 
AT&T Business,Global Enterprise Sales,HSIA,Learn,Discovery Management 
AT&T Business,Global Enterprise Sales,ABF,Learn,Discovery Management 
AT&T Business,Global Enterprise Sales,OAH,Buy,Contract Management
AT&T Business,Global Enterprise Sales,ABF,Buy,Contract Management
AT&T Business,Digital Experience,ABF,Learn,Sales Activity Management 
AT&T Business,Global Enterprise Sales,ABF,Buy,Sales Order Management 
AT&T Business,Global Enterprise Sales,ASE,Buy,Sales Order Management 
AT&T Business,Global Enterprise Sales,HSIA,Buy,Sales Order Management 
AT&T Business,Global Enterprise Sales,OAH,Buy,Sales Order Management 
AT&T Business,Global Enterprise Sales,HSIA,Buy,Pricing Management 
AT&T Business,Global Enterprise Sales,OAH,Buy,Pricing Management 
AT&T Business,Global Enterprise Sales,HSIA,Buy,Proposal Management 
AT&T Business,Global Enterprise Sales,OAH,Buy,Proposal Management 
AT&T Business,Service Delivery,ASE,Get,Order Management 
AT&T Business,Service Delivery,ABF,Get,Order Management 
AT&T Business,Service Delivery,ASE,Get,Provisioning Management 
AT&T Business,Service Delivery,ABF,Get,Provisioning Management 
AT&T Business,Service Delivery,ABF,Use,Provisioning Management 
