ID,editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
1,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,4,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,18436,PEARS,/PEARSWS/services/PortEligibilityReferenceDataLookup,9/22/2025,,
2,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireAccountProfile/version=306.6.32/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
3,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireAccountProfile/version=306.6.32/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
4,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireAccountProfile/version=306.6.32/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
5,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireAccountSubscribers/version=228.5.19/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
6,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireAccountSubscribers/version=228.5.19/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
7,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireAccountSubscribers/version=228.5.19/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
8,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,1,Inquire Account & Eligibility,20180,CSI - Product and Offer Mgt,/Services/com/InquirePortEligibilityBySubscriberNumber.jws,9/22/2025,,
9,em114j,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,2,Prepare Number & Port,20188,CSI - Network Management,/service=com.att.csi.m2e.AddPort/version=192.5.38/envContext=PROD/routeOffer=AE2P01,9/22/2025,,
10,bb0063,Add,Mass Markets,MVNO,Wholesale Mobility,2,Onboard & Activate,3,Setup & Activate,1,Activate & Provision Service,2,Prepare Number & Port,20188,CSI - Network Management,/service=com.att.csi.m2e.AddPort/version=192.5.38/envContext=PROD/routeOffer=ASCP01,9/22/2025,,
