Original_Value,Scrambled_Value
PLMNEE,LEMENP
ATTCOMMCSMPortal,CMTClAPTtSroaMOM
Plextrac,Petlarcx
GRP-CQE Home Solutions PE, QsiP-CRuGo mnESEtoolPe H
IO,OI
NDSS,NSSD
MSSTP,SPSTM
ABS PMPS,MBSPPSA 
GRP-CQE Mobility PE,MREPbE i-lQy tPoiCG
ACS360,0C36AS
S1,S1
DMZ-NAG,MN-DGAZ
EDD-M,-EDDM
ASOC,ASOC
ORCA,AROC
RFP2MOD,DROMFP2
NMADB-DBSCID,A-BNMSDDIBDC
O9PLN,NP9OL
CUSTOP-Snowflake,CwaUoefnlPkSO-TS
vDNS11,1DNSv1
wifi-ii,wii-iif
NESA,SENA
SD Elements, SntsmEleDe
MiFo,ioMF
MPCNOW,WOMNPC
AppGen,GpnpeA
ADEC,AECD
ABO Dashboard,ahaob rBDdsOA
NetAct EMS Production,e PticoNtutS EMrndoAc
NTO-KVM,MNVO-TK
CREDFIN,CRDEFIN
OC&C-DBASE & POSTING,C OITO&CB DNE-SGASP&
(FED) - CPC,D- FEPCC )(
BASIS,ISBAS
DoH & DoT,  HT&DooD
MISDNS,MNDSIS
FCLM,FCML
Intune,nItnue
VizGems,ziesVGm
API-OK,OI-PKA
MIMDM,MDMMI
TPRM-BV,RVMTPB-
youshare,ashureyo
TMTCRTLY,MRTTTYLC
ICVM,VIMC
EGIS,SEGI
wifi-cloud-net,lcf-weinud-oti
QM-Compass,Mm-QospsCa
ATTFM,FATTM
LMR P25,2MLP 5R
TCW Geolocation,le tGaioWocnCoT
Cricket AIM,MiIArk tceC
XA,XA
USP - SBC - consumer,r usPnS-SUm  eBC oc-
CSMF-CUPF-UC,UFSCUC-C-PFM
Ribbon-GSX,bXRbnGiS-o
ATCS OCP,STOPCA C
NOWGRCCMP1,MWGON1PCRC
NOWPAGRCRM1,ARM1ONCGWPR
NOWPAGRCPCM1,AWNPMRCCGOP1
NOWGRCCMEverbridge1,igrbGeCMWve1OCNErRd
NOWPAGRCAM1,PRCOMNAWAG1
NOWDYNRISKP,KORNSPDYNWI
SNRP,NPRS
RDAF-ETL-Now,wDR-NF-ELTAo
CLV India,Iida CVLn
NPBADE,NDAPEB
GRP-PRIME,P-RPIEMGR
DCS PL01,01PS CLD
Brno-RKG,oGRrBK-n
Cricket Trade-in,a riCieTrn-tckde
SDN-NFT,NF-DNST
CARTCAP,TCAPACR
PMOSS_SIP,PPS_SSMOI
CSO,SOC
RLO,RLO
DEITracker,IDrrkEcTea
CSO-HPS,CHS-PSO
API-MGMT,GPIMMAT-
ADD-NIS,NDI-DSA
UPF-UC,UCFU-P
MCANST,CMTNAS
dmmgmt,tmgmmd
GRP-RPI,GIR-RPP
PMG,PGM
Captello,ellaCopt
MSTR-NOW,-RNWOSTM
HREBS,RSBHE
AAEn,nAAE
SRWA,ASWR
Skylar1,1ySkrla
SIPBI,IPISB
Consumer-CUDR-CUDSF-Ericsson,SCF-CnsriRnsED-UsUoDcumCer-o
PFMS,MFSP
NetMaster,MsreeNtat
FNMDNS,NSDFMN
EDX,DEX
PRC PROs Inc,cRnIPCPRs O 
IIP,IIP
Stargate,aegtratS
(FED) - FASTBPM,MTDS)(FAFPB-  E
Nokia Mediation,oMoitnN kaiieda
CCMP,MPCC
GRP-SPE,REPPGS-
MBI-AOI,MAOI-IB
NSO,NSO
IPSG FPS,IP SGFSP
CCAPM,MCCPA
ATIMS,SMTIA
OnProcess,POsoscrne
POOA,AOPO
MyDesk,yDkMse
Cirrus Oracle Cloud,oCaridrerCcOl lu su
NOWSHA,HONSWA
NOWSNAZM,NNZWAOSM
NOWVRCISA,AIVWCRNSO
NOWGRCWB1,OWC1BGWRN
IAM Access Ops SN,AsONpsIs  cec MSA
URLScan,ULSacnR
NOWCMDBDPM,DCNMDPWOMB
DOPC,DCPO
NCT,NCT
SONAR,ROSAN
DSRC,DRCS
ORN Account Verification Dept,AuVcOca oeNe ni tticRntrDofip
APRT,PART
GRP-Maloo AON Design,oOgsoNRaelPDGinA M -
NOWCASE,WACNSOE
HR Cal,alHR C
SN GWS-SM,SWSG NSM-
ECOMP-OM,ECMMOP-O
USPe NEDR,SeUDNE PR
GFP-SAM,GAP-FMS
ECO USP,OEC PUS
DLNA,LAND
PWS TOOL, OSTPWLO
DP-DPW,DPW-PD
NOWNISTCSF,SNNFSIWOCT
SGC-SCCM,SCSCM-GC
ALMTOR,MTRALO
DTV EG-TOOL-MCP,G VT-D-OTPEOCML
Enterprise WAF,AetsFnE prriWe
PALADIN,APDINLA
LC,CL
NOWARM,ONWAMR
TDEMEA,DEEATM
IAM PAM, AMIPAM
CNIS-cMME,S-NMIMCEc
Infinity,nntiIfiy
ASKGRAPH,PAHGRASK
IDP-Cld-PCI,-CPl-PIdIDC
TEAFAC,AATCEF
IDP-Cosmic DBT,ImDcDP-siBCoT 
PIM,PMI
NOWATSAsset,OAWTsNSsetA
NOWCSOENSSELM,SOWNENMCLOESS
HR Ask AT&T Integration,Ttr ognAHe&aA nRkI stTi
ATS-SP,APSST-
ASAC,CAAS
CEMG-WCMT,M-MCETWCG
GPS-Nessus,NGs-euSPss
DTV-VCP,VVC-PTD
vUSP - vMRF-VoLTE,-ET vPU SoFVM-RvL
veMon,oMvne
NWATCH,WTCNHA
PS-LDT,P-DTSL
GCM Front Door, ntFo orGDMroC
ABMReport,tRopBMreA
Rhythm,thRmyh
Broadband-TRUE,dUETdnraaob-RB
AMNQ,QNAM
NGM,MGN
ACDN,NACD
CCMT,MTCC
