Domain_Name Component,Domain_ID Qualifier,SubDomain_Name Component,SubDomain_ID Qualifier,SRT_ID Qualifier,Bus_Cap Component,Cap_Bus_ID Qualifier,bus_cap_notes Qualifier,Bus_Cap_Detail Qualifier,Scope_Type Qualifier,Intake_Status Qualifier,Application Component,APP_ID Qualifier,EffortSize Qualifier,FK_Data[Applications].Correlation_ID,EffortDesc Qualifier,journey Qualifier,Enabler Qualifier
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized,Customer Financial Management,13287,S,13287,Small,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized,IDP-Customer Graph Cloud,31468,S,31468,Small,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized,Organizational Risk Based Integrated Technology Gold,17922,S,17922,Small,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,Organizational Risk Based Integrated Technology Gold,17922,M,17922,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-CAMS,32767,M,32767,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-Customer Graph Cloud,31468,M,31468,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,BSSe-Order Capture,30909,M,30909,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,BSSe-NEO,31710,M,31710,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-Order Graph Cloud,31543,M,31543,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,Order Capture Engine,23488,M,23488,Medium,Bill Pay & Usage,0
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized,IDP-Sales,30519,NULL,30519,NULL,Bill Pay & Usage,0
