ID,Depth,Parent ID,Component Name,Row Name,Row ID,Field Values,Hierarchy Path
1,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
2,1,1,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
3,2,2,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
4,3,3,Domain,Onboard & Activate,6a3ac6594aebe3f6e59f71ba,,Domain/Onboard & Activate
5,4,4,Subdomain,Setup & Activate,6a3ac6594aebe3f6e59f71c2,,Subdomain/Setup & Activate
6,5,5,Business Flow,Activate Line,6a3ac6594aebe3f6e59f71d7,,Business Flow/Activate Line
7,6,6,Task,Lookup Customer,6a3ac6594aebe3f6e59f7200,,Task/Lookup Customer
8,7,7,Application,"""CCM",6a3ac6594aebe3f6e59f72df,,"Application/""CCM"
9,8,8,Application,"""CCM",6a3ac6594aebe3f6e59f72df,"{""name"":""\""CCM"",""correlation_id_qualifier"":""18293"",""persona_id"":""2"",""correlation_id"":""18293""}","""CCM"
10,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
11,1,10,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
12,2,11,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
13,3,12,Domain,Onboard & Activate,6a3ac6594aebe3f6e59f71ba,,Domain/Onboard & Activate
14,4,13,Subdomain,Setup & Activate,6a3ac6594aebe3f6e59f71c2,,Subdomain/Setup & Activate
15,5,14,Business Flow,Activate Line,6a3ac6594aebe3f6e59f71d7,,Business Flow/Activate Line
16,6,15,Task,LIC to OPUS (Search CTN ) - optional,6a3ac6594aebe3f6e59f7202,,Task/LIC to OPUS (Search CTN ) - optional
17,7,16,Application,"""CCM",6a3ac6594aebe3f6e59f72df,,"Application/""CCM"
18,8,17,Application,"""CCM",6a3ac6594aebe3f6e59f72df,"{""name"":""\""CCM"",""correlation_id_qualifier"":""18293"",""persona_id"":""2"",""correlation_id"":""18293""}","""CCM"
19,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
20,1,19,Channel,Care,6a3ac6594aebe3f6e59f71ac,,Channel/Care
21,2,20,Product,Mobility,6a3ac6594aebe3f6e59f71b4,,Product/Mobility
22,3,21,Domain,Use & Manage,6a3ac6594aebe3f6e59f71bb,,Domain/Use & Manage
23,4,22,Subdomain,Change Plan / Change Speed,6a3ac6594aebe3f6e59f71c3,,Subdomain/Change Plan / Change Speed
24,5,23,Business Flow,Add a Line,6a3ac6594aebe3f6e59f71d8,,Business Flow/Add a Line
25,6,24,Task,Lookup & Authenticate Customer,6a3ac6594aebe3f6e59f7227,,Task/Lookup & Authenticate Customer
26,7,25,Application,"""CCM",6a3ac6594aebe3f6e59f72df,,"Application/""CCM"
27,8,26,Application,"""CCM",6a3ac6594aebe3f6e59f72df,"{""name"":""\""CCM"",""correlation_id_qualifier"":""18293"",""persona_id"":""2"",""correlation_id"":""18293""}","""CCM"
28,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
29,1,28,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
30,2,29,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
31,3,30,Domain,Onboard & Activate,6a3ac6594aebe3f6e59f71ba,,Domain/Onboard & Activate
32,4,31,Subdomain,Setup & Activate,6a3ac6594aebe3f6e59f71c2,,Subdomain/Setup & Activate
33,5,32,Business Flow,Activate & Provision Service,6a3ac6594aebe3f6e59f71d6,,Business Flow/Activate & Provision Service
34,6,33,Task,Activate Service,6a3ac6594aebe3f6e59f71f7,,Task/Activate Service
35,7,34,Application,"""SC",6a3ac6594aebe3f6e59f72bf,,"Application/""SC"
36,8,35,Application,"""SC",6a3ac6594aebe3f6e59f72bf,"{""name"":""\""SC"",""correlation_id_qualifier"":""18198"",""persona_id"":"""",""correlation_id"":""18198""}","""SC"
37,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
38,1,37,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
39,2,38,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
40,3,39,Domain,Onboard & Activate,6a3ac6594aebe3f6e59f71ba,,Domain/Onboard & Activate
41,4,40,Subdomain,Setup & Activate,6a3ac6594aebe3f6e59f71c2,,Subdomain/Setup & Activate
42,5,41,Business Flow,Activate New Mobility Customer,6a3ac6594aebe3f6e59f71da,,Business Flow/Activate New Mobility Customer
43,6,42,Task,Submit Order,6a3ac6594aebe3f6e59f7222,,Task/Submit Order
44,7,43,Application,"""SC",6a3ac6594aebe3f6e59f72bf,,"Application/""SC"
45,8,44,Application,"""SC",6a3ac6594aebe3f6e59f72bf,"{""name"":""\""SC"",""correlation_id_qualifier"":""18198"",""persona_id"":"""",""correlation_id"":""18198""}","""SC"
46,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
47,1,46,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
48,2,47,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
49,3,48,Domain,Onboard & Activate,6a3ac6594aebe3f6e59f71ba,,Domain/Onboard & Activate
50,4,49,Subdomain,Receive Products,6a3ac6594aebe3f6e59f71cf,,Subdomain/Receive Products
51,5,50,Business Flow,Setup Device,6a3ac6594aebe3f6e59f71ea,,Business Flow/Setup Device
52,6,51,Task,Device on Wi-Fi,6a3ac6594aebe3f6e59f729e,,Task/Device on Wi-Fi
53,7,52,Application,"""SC",6a3ac6594aebe3f6e59f72bf,,"Application/""SC"
54,8,53,Application,"""SC",6a3ac6594aebe3f6e59f72bf,"{""name"":""\""SC"",""correlation_id_qualifier"":""18198"",""persona_id"":"""",""correlation_id"":""18198""}","""SC"
55,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
56,1,55,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
57,2,56,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
58,3,57,Domain,Onboard & Activate,6a3ac6594aebe3f6e59f71ba,,Domain/Onboard & Activate
59,4,58,Subdomain,Receive Products,6a3ac6594aebe3f6e59f71cf,,Subdomain/Receive Products
60,5,59,Business Flow,Setup Device,6a3ac6594aebe3f6e59f71ea,,Business Flow/Setup Device
61,6,60,Task,Confirm Network Connection,6a3ac6594aebe3f6e59f729f,,Task/Confirm Network Connection
62,7,61,Application,"""SC",6a3ac6594aebe3f6e59f72bf,,"Application/""SC"
63,8,62,Application,"""SC",6a3ac6594aebe3f6e59f72bf,"{""name"":""\""SC"",""correlation_id_qualifier"":""18198"",""persona_id"":"""",""correlation_id"":""18198""}","""SC"
64,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
65,1,64,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
66,2,65,Product,Wholesale Mobility,6a3ac6594aebe3f6e59f71b3,,Product/Wholesale Mobility
67,3,66,Domain,Close & Separate,6a3ac6594aebe3f6e59f71bf,,Domain/Close & Separate
68,4,67,Subdomain,Close Account,6a3ac6594aebe3f6e59f71d2,,Subdomain/Close Account
69,5,68,Business Flow,Triage / MVNO Care,6a3ac6594aebe3f6e59f71ec,,Business Flow/Triage / MVNO Care
70,6,69,Task,Assess Service Features & Functionality Issues,6a3ac6594aebe3f6e59f72a8,,Task/Assess Service Features & Functionality Issues
71,7,70,Application,"""SC",6a3ac6594aebe3f6e59f72bf,,"Application/""SC"
72,8,71,Application,"""SC",6a3ac6594aebe3f6e59f72bf,"{""name"":""\""SC"",""correlation_id_qualifier"":""18198"",""persona_id"":"""",""correlation_id"":""18198""}","""SC"
73,0,,Line Of Business,Mass Markets,6a3ac6594aebe3f6e59f71a7,,Line Of Business/Mass Markets
74,1,73,Channel,MVNO,6a3ac6594aebe3f6e59f71ab,,Channel/MVNO
